	Note ESG
PowerSchool Holdings, Inc.	18.9
Presto Automation, Inc.	24.2
Prevas AB	18.8
Priority Technology Holdings, Inc.	27.1
Proact IT Group AB	21.8
Procore Technologies, Inc.	16.3
Progress Software Corp.	23.7
PROS Holdings, Inc.	21.6
Prosus NV	15.9
PSI Software SE	24.7
PT GoTo Gojek Tokopedia Tbk	17.3
PT Solusi Sinergi Digital Tbk	27.7
PTC, Inc.	18.5
PubMatic, Inc.	24.3
Q2 Holdings, Inc.	24.5
Qiming Information Technology Co., Ltd.	27.3
Qt Group Plc	16.4
Qualys, Inc.	19.6
Quest Holdings SA	14.5
QuinStreet, Inc.	26.1
Quotient Technology, Inc.	25.0
R&D Computer Co. Ltd.	25.5
Rackspace Technology, Inc.	22.3
Radware Ltd.	12.9
RAKUS Co., Ltd.	27.4
Rakuten Group, Inc.	20.9
Rapid7, Inc.	21.1
RateGain Travel Technologies Ltd.	25.5
REA Group Ltd.	22.1
Red Violet, Inc.	25.5
Remixpoint, Inc.	23.6
Reply SpA	17.7
Rightmove Plc	17.5
Rimini Street, Inc.	20.9
RingCentral, Inc.	20.8
Riskified Ltd.	26.6
Roblox Corp.	18.1
Roper Technologies, Inc.	19.4
Rovio Entertainment Oyj	18.7
Sabre Corp.	22.4
Salesforce, Inc.	15.2
Salute Mission Critical LLC	18.9
Samsara, Inc.	19.7
SAMSUNG SDS CO., LTD.	17.9
Sangfor Technologies, Inc.	24.6
Sansan, Inc.	23.8
SAP SE	14.4
Sapiens International Corp. NV	24.5
SB Technology Corp.	20.7
Scala, Inc. (Japan)	24.4
Science Applications International Corp.	23.3
Scout24 SE	12.9
SCSK Corp.	17.5
Sea Ltd. (Singapore)	24.1
secunet Security Networks AG	21.2
SEMrush Holdings, Inc.	23.0
SenseTime Group, Inc.	25.5
SentinelOne, Inc.	21.5
ServiceNow, Inc.	16.3
Servyou Software Group Co., Ltd.	27.9
SeSa SpA	18.2
Shanghai AtHub Co., Ltd.	28.3
Shanghai Baosight Software Co., Ltd.	27.2
Shanghai Stonehill Technology Co., Ltd.	31.4
Shenzhen Das Intellitech Co., Ltd.	29.5
Shenzhen Infogem Technologies Co., Ltd.	29.8
Shenzhen Kingdom Sci-tech Co., Ltd.	27.0
Shenzhen Sinovatio Technology Co., Ltd.	22.4
Shenzhen Sunline Tech Co., Ltd.	27.2
Shenzhen YSSTech Information Technology Co., Ltd.	26.6
SHIFT, Inc.	19.4
Shift4 Payments, Inc.	28.9
Shopify, Inc.	23.3
Shutterstock, Inc.	25.4
Sichuan Jiuyuan Yinhai Software Co., Ltd.	25.0
SII SA	18.0
Silverlake Axis Ltd.	22.3
Simplex Holdings, Inc.	22.4
Sinch AB	22.9
SiteMinder Ltd.	21.8
SixSigma Networks México SA de CV	21.7
Skillsoft Corp.	23.5
Sky ICT Public Co. Ltd.	24.6
Sleep Cycle AB	22.0
SmartRent, Inc.	27.0
Smartsheet, Inc.	16.6
Snap, Inc.	20.0
Snowflake, Inc.	16.9
Soft-World International Corp.	15.5
Softcat Plc	16.8
Softchoice Corp.	22.2
Softcreate Holdings Corp.	23.0
Softronic AB	17.1
Software AG	14.2
SoftwareONE Holding AG	19.4
Sohu.com Ltd.	29.8
SolarWinds Corp.	26.4
SOLiD, Inc.	30.0
Solutions 30 SE	20.0
Sonata Software Ltd.	26.8
Sonda SA	23.8
Soop Co., Ltd.	20.8
Sopra Steria Group SA	13.3
SoundHound AI, Inc.	25.8
SoundThinking, Inc.	23.5
Sourcenext Corp.	26.3
Splunk LLC	18.2
Spotify Technology SA	22.3
Sprinklr, Inc.	24.3
Sprout Social, Inc.	24.2
SPS Commerce, Inc.	21.9
Square Enix Holdings Co., Ltd.	18.9
Squarespace, Inc.	24.9
SRA Holdings, Inc.	23.8
SS&C Technologies Holdings, Inc.	21.9
Starbreeze AB	16.9
State Grid Information & Communication Co., Ltd.	26.7
Sterling Check Corp.	20.8
Stillfront Group AB	12.1
StoneCo Ltd.	21.8
SUNeVision Holdings Ltd.	24.3
Sword Group SE	21.4
Synopsys, Inc.	14.0
Systems Ltd.	21.1
Systena Corp.	22.9
Systex Corp.	18.6
Taboola.com Ltd.	24.2
Take-Two Interactive Software, Inc.	15.9
Talkweb Information System Co., Ltd.	32.1
Tanla Platforms Ltd.	16.4
Tata Consultancy Services Ltd.	14.5
Tata Elxsi Ltd.	23.6
Tata Technologies Ltd. (India)	19.0
TDC SOFT, Inc.	23.5
Team17 Group PLC	13.5
TeamViewer SE	7.4
Tech Mahindra Ltd.	12.4
TechMatrix Corp.	20.5
Technology One Ltd.	16.6
TechTarget, Inc.	26.5
Temenos AG	10.8
Ten Square Games SA	18.0
Tenable Holdings, Inc.	20.6
Tencent Holdings Ltd.	18.8
Tencent Music Entertainment Group	26.3
Teradata Corp.	15.5
Teranet Holdings LP	26.6
TeraWulf, Inc.	25.3
TerraSky Co., Ltd.	24.7
TEXT SA	21.4
The Descartes Systems Group, Inc.	13.8
The Hackett Group, Inc.	18.8
The Sage Group plc	16.8
The Trade Desk, Inc.	22.7
The Western Union Co.	17.4
Thorne HealthTech, Inc.	24.8
Thunder Software Technology Co., Ltd.	24.7
TietoEVRY Oyj	18.5
TIS, Inc. (Japan)	20.9
TKC Corp.	24.3
Toast, Inc.	18.8
TomTom NV	18.1
Tongcheng Travel Holdings Ltd.	21.1
Tongdao Liepin Group	24.6
Total System Services LLC	19.1
TOTVS SA	14.3
TradeDoubler AB	28.8
Trainline Plc	22.5
transcosmos, Inc.	22.1
TravelSky Technology Ltd.	23.9
Trend Micro, Inc.	21.4
Trip.com Group Ltd.	21.8
TripAdvisor, Inc.	27.5
Truecaller AB	28.1
TrueCar, Inc.	23.9
Trustpilot Group Plc	23.6
TTEC Holdings, Inc.	22.6
Tucows, Inc.	28.6
Tuya, Inc.	20.3
Twilio, Inc.	21.0
Tyler Technologies, Inc.	18.3
Uber Technologies, Inc.	21.1
Ubicom Holdings, Inc.	22.7
Ubisoft Entertainment SA	13.4
Udemy, Inc.	12.8
UiPath, Inc.	15.9
Unisys Corp.	15.8
Unity Software, Inc.	17.0
Upstart Holdings, Inc.	21.1
Upwork, Inc.	15.3
Vakrangee Ltd.	6.5
Varonis Systems, Inc.	26.2
Venustech Group Inc.	22.8
Verint Systems, Inc.	18.7
VeriSign, Inc.	20.8
Veritone, Inc.	31.2
