	Note ESG
Takasago International Corp.	36.0
Taki Chemical Co., Ltd.	44.4
Tangshan Sanyou Chemical Industries Co., Ltd.	41.2
Tangshan SunFar Silicon Industries Co., Ltd.	36.0
Tata Chemicals Ltd.	33.9
Tatva Chintan Pharma Chem Ltd.	32.2
Tayca Corp.	41.1
Teijin Ltd.	22.8
TENMA Corp.	34.7
Tessenderlo Group NV	35.1
The Chemours Co.	25.3
The Mosaic Co.	37.3
The Sherwin-Williams Co.	29.4
The Westaim Corp.	35.2
Thirumalai Chemicals Ltd.	33.7
TKG Huchems Co., Ltd.	27.9
TOA Paint (Thailand) Public Co. Ltd.	18.8
Toagosei Co., Ltd.	30.1
Tokai Carbon Co., Ltd.	31.7
Tokuyama Corp.	42.3
TOKYO OHKA KOGYO CO., LTD.	28.9
Toray Industries, Inc.	18.5
Tosoh Corp.	25.5
Toyo Gosei Co., Ltd.	32.9
Toyobo Co., Ltd.	23.9
Treatt Plc	29.6
Tredegar Corp.	30.9
Trinseo Plc	26.6
Tronox Holdings Plc	25.9
TSRC Corp.	21.7
UBE Corp.	31.3
Umicore SA	24.3
UNID Co., Ltd.	32.3
Unipar Carbocloro SA	21.3
UPC Technology Corp.	23.7
UPL Ltd.	19.0
URENCO Ltd.	27.8
USI Corp.	22.2
Valhi, Inc.	44.8
Valiant Co., Ltd.	31.9
Valqua Ltd.	27.6
Verbio SE	22.5
Verde Clean Fuels, Inc.	33.9
Victrex Plc	26.1
Vinati Organics Ltd.	28.3
Vulcan Energy Resources Ltd.	18.7
W-SCOPE Corp.	39.5
Wacker Chemie AG	23.1
Waga Energy SA	28.3
Wanhua Chemical Group Co., Ltd.	38.6
WCE Holdings Bhd.	38.2
We Soda Investments Holding PLC	17.9
Weihai Guangwei Composites Co., Ltd.	29.9
Westlake Corp.	28.2
Xin Feng Ming Group Co. Ltd.	37.1
Xinjiang Xuefeng Sci-Tech (Group) Co., Ltd.	35.7
Xinjiang Zhongtai Chemical Co., Ltd.	43.8
Xinxiang Richful Lube Additive Co., Ltd.	36.7
XTC New Energy Materials (Xiamen) Co., Ltd.	22.5
Yanbu National Petrochemical Co.	32.2
Yara International ASA	25.3
Yibin Tianyuan Group Co., Ltd.	34.3
YONFER Agricultural Technology Co., Ltd.	49.3
YOUNGY Co., Ltd.	37.6
Yung Chi Paint & Varnish Mfg Co., Ltd.	33.7
Yunnan Energy Investment Co., Ltd.	26.9
Yunnan Yuntianhua Co., Ltd.	49.8
ZACROS Corp.	31.9
Zangge Mining Co., Ltd.	44.9
ZEON Corp.	26.4
Zhejiang Jiahua Energy Chemical Industry Co., Ltd.	28.1
Zhejiang Juhua Co., Ltd.	33.4
Zhejiang Longsheng Group Co., Ltd.	38.8
Zhejiang Runtu Co., Ltd.	36.9
Zhejiang Xinan Chemical Industrial Group Co., Ltd.	40.8
Zhejiang Yongtai Technology Co., Ltd.	36.4
Zhuzhou Times New Materials Technology Co., Ltd.	32.5
Zibo Qixiang Tengda Chemical Co., Ltd.	36.7
Zotefoams Plc	20.9
