name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
Americold Realty Trust, Inc.	13.2	United States of America	Real Estate	14,706	-7.77%	2024	-7.77	Real estate and related services	North America	COLD	86400.0	13.22	4.3	5.6	3.32	2025.0	1.0	1.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
AMETEK, Inc.	14.2	United States of America	Technology Hardware	21,500	14.89%	2024	14.89	Technology sectors	North America	AME	86400.0	14.23	6.49	3.74	4.0	2025.0	1.0	0.0	['Environmental Supply Chain Incidents;Product & Service Incidents;Operations Incidents;Social Supply Chain Incidents;Society & Community Incidents;Customer Incidents;Business Ethics Incidents;Employee Incidents;Public Policy Incidents;Governance Incidents']	False	1	0	1	0	0	0	0	0
AMG Critical Materials NV	36.5	Netherlands	Diversified Metals	3,600	-5.96%	2024	-5.96	Energy and natural resources	Europe	ASMLF	86400.0	8.4	3.26	2.41	2.74	2025.0	1.0	2.0	['Society & Community Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Amphenol Corp.	18.0	United States of America	Technology Hardware	95,000	25.29%	2024	25.29	Technology sectors	North America	APH	86400.0	17.89	8.21	4.77	4.9	2025.0	1.0	2.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Amplifon SpA	14.1	Italy	Healthcare	20,300	14.24%	2024	14.24	Healthcare and well-being	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
AmRest Holdings SE	29.7	Spain	Consumer Services	45,000	-0.45%	2024	-0.45	Consumer sectors (B2C)	Europe	LECO	86400.0	20.98	6.83	10.22	3.93	2025.0	1.0	1.0	['Customer Incidents']	False	0	0	0	0	0	0	0	0
Anglo American Plc	25.7	United Kingdom	Diversified Metals	58,000	-2.24%	2024	-2.24	Energy and natural resources	Europe	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Anhui Golden Seed Winery Co., Ltd.	31.5	China	Food Products	2,211	-3.45%	2024	-3.45	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Anhui Heli Co., Ltd.	33.8	China	Machinery	8,734	15.85%	2024	15.85	Industrial and manufacturing sectors	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Anhui Huaheng Biotechnology Co., Ltd.	30.8	China	Pharmaceuticals	1,691	16.60%	2024	16.6	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Anhui Yingjia Distillery Co., Ltd.	35.0	China	Food Products	7,406	30.88%	2024	30.88	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Anhui Yingliu Electromechanical Co., Ltd.	47.2	China	Steel	4,957	5.34%	2024	5.34	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Anhui Zhongding Sealing Parts Co., Ltd.	31.6	China	Auto Components	23,183	10.60%	2024	10.6	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Annehem Fastigheter AB	22.3	Sweden	Real Estate	16	-1.12%	2024	-1.12	Real estate and related services	Europe	OTLY	86400.0	25.31	11.67	9.97	3.67	2025.0	1.0	1.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Antero Resources Corp.	34.5	United States of America	Oil & Gas Producers	604	1.31%	2024	1.31	Energy and natural resources	North America	AR	86400.0	34.48	20.53	8.26	5.68	2025.0	1.0	1.0	['Business Ethics Incidents']	False	0	1	0	1	0	0	0	0
Aotecar New Energy Technology Co., Ltd.	37.2	China	Auto Components	8,117	1.71%	2024	1.71	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Apeloa Pharmaceutical Co., Ltd.	41.5	China	Pharmaceuticals	7,208	17.03%	2024	17.03	Healthcare and well-being	Asia	TKPHF	86400.0	21.34	1.56	13.54	6.24	2025.0	1.0	3.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
Aperam SA	19.8	Luxembourg	Steel	11,000	8.51%	2024	8.51	Industrial and manufacturing sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Aptiv Plc	12.9	Switzerland	Auto Components	31,000	24.21%	2024	24.21	Industrial and manufacturing sectors	Europe	APTV	86400.0	12.89	4.35	4.56	3.97	2025.0	1.0	1.0	['Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Aquafil SpA	11.3	Italy	Textiles & Apparel	2,482	-13.73%	2024	-13.73	Consumer sectors (B2C)	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Aramark	22.2	United States of America	Consumer Services	27,160	7.74%	2024	7.74	Consumer sectors (B2C)	North America	ARMK	86400.0	22.16	8.71	10.56	2.89	2025.0	1.0	2.0	['Customer Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Archer-Daniels-Midland Co.	33.7	United States of America	Food Products	40,213	7.36%	2024	7.36	Consumer sectors (B2C)	North America	ADM	86400.0	33.7	20.92	9.39	3.4	2025.0	1.0	3.0	['Environmental Supply Chain Incidents;Social Supply Chain Incidents']	False	0	1	0	1	0	0	0	0
Arcs Co., Ltd.	32.7	Japan	Food Retailers	5,720	13.25%	2024	13.25	Consumer sectors (B2C)	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Arctic Paper SA	20.9	Poland	Paper & Forestry	1,500	9.95%	2024	9.95	Industrial and manufacturing sectors	Europe	IP	86400.0	23.43	15.13	5.61	2.69	2025.0	1.0	3.0	['Operations Incidents']	False	0	0	0	0	0	0	0	0
Arendals Fossekompani ASA	32.8	Norway	Industrial Conglomerates	2,601	-4.85%	2024	-4.85	Industrial and manufacturing sectors	Europe	STOHF	86400.0	36.59	21.12	11.39	4.08	2025.0	1.0	2.0	['Product & Service Incidents;Employee Incidents;Customer Incidents;Society & Community Incidents;Operations Incidents;Business Ethics Incidents']	False	0	1	0	1	0	0	0	0
Arnoldo Mondadori Editore SpA	12.2	Italy	Media	2,103	18.72%	2024	18.72	Commercial services and media	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Aroundtown SA	10.1	Luxembourg	Real Estate	1,706	-7.85%	2024	-7.85	Real estate and related services	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Asahi Diamond Industrial Co., Ltd.	34.9	Japan	Machinery	2,059	3.35%	2024	3.35	Industrial and manufacturing sectors	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Ascopiave SpA	29.0	Italy	Utilities	500	5.75%	2024	5.75	Utilities	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Ashmore Group Plc	18.3	United Kingdom	Diversified Financials	305	10.89%	2024	10.89	Financial sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Asia-Potash International Investment (Guangzhou) Co., Ltd.	56.0	China	Diversified Metals	6,557	5.64%	2024	5.64	Energy and natural resources	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
ASKA Pharmaceutical Holdings Co., Ltd.	29.8	Japan	Pharmaceuticals	762	9.73%	2024	9.73	Healthcare and well-being	Asia	AEM	86400.0	21.85	10.51	7.86	3.48	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
ASML Holding NV	8.5	Netherlands	Semiconductors	42,372	49.22%	2024	49.22	Technology sectors	Europe	ASMLF	86400.0	8.4	3.26	2.41	2.74	2025.0	1.0	2.0	['Society & Community Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
ASOS Plc	21.5	United Kingdom	Retailing	3,027	-48.80%	2024	-48.8	Consumer sectors (B2C)	Europe	UNLYF	86400.0	21.55	7.94	9.09	4.53	2025.0	1.0	2.0	['Customer Incidents;Employee Incidents;Social Supply Chain Incidents;Governance Incidents;Business Ethics Incidents;Product & Service Incidents;Operations Incidents;Environmental Supply Chain Incidents']	False	0	0	0	0	0	0	0	0
ASR Microelectronics Co., Ltd.	33.9	China	Telecommunication Services	1,263	-7.96%	2024	-7.96	Technology sectors	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Asseco Poland SA	25.0	Poland	Software & Services	33,761	14.03%	2024	14.03	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Assicurazioni Generali SpA	15.7	Italy	Insurance	82,000	12.83%	2024	12.83	Financial sectors	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
AstraZeneca PLC	21.5	United Kingdom	Pharmaceuticals	89,900	16.66%	2024	16.66	Healthcare and well-being	Europe	AZNCF	86400.0	21.49	2.65	14.08	4.76	2025.0	1.0	2.0	['Society & Community Incidents;Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	1	0	0	0
Asymchem Laboratories (Tianjin) Co., Ltd.	19.1	China	Pharmaceuticals	9,300	4.40%	2024	4.4	Healthcare and well-being	Asia	ABT	86400.0	22.21	1.81	13.84	6.56	2025.0	1.0	3.0	['Customer Incidents']	False	0	0	0	0	1	0	0	0
Atlantica Sustainable Infrastructure Plc	13.3	United Kingdom	Utilities	1,366	1.70%	2024	1.7	Utilities	Europe	PNR	86400.0	22.0	6.12	10.73	5.15	2025.0	1.0	1.0	['Employee Incidents']	False	0	0	0	0	0	0	0	0
